,state,city,laid_off,date,month,year
36110,Washington,Bothell,1.0,2008-02-06,February,2008
36111,Washington,Bothell,7.0,2008-02-04,February,2008
36112,Washington,Roy,130.0,2008-02-04,February,2008
36113,Washington,Bellevue,1.0,2008-01-31,January,2008
36114,Washington,Vancouver,89.0,2008-01-29,January,2008
36115,Washington,KIRKLAND,69.0,2008-01-24,January,2008
36116,Washington,Bothell,71.0,2008-01-16,January,2008
36117,Washington,Deer Park,79.0,2008-01-11,January,2008
36118,Washington,Tacoma,71.0,2007-12-26,December,2007
36119,Washington,Bothell,6.0,2007-12-24,December,2007
36120,Washington,Bellevue,105.0,2007-12-17,December,2007
36121,Washington,Arlington,55.0,2007-12-14,December,2007
36122,Washington,Keyport,55.0,2007-12-13,December,2007
36123,Washington,"Seattle, Tacoma and Vancouver",3.0,2007-12-05,December,2007
36124,Washington,SeaTac,132.0,2007-11-19,November,2007
36125,Washington,Redmond,150.0,2007-11-15,November,2007
36126,Washington,Tukwila,60.0,2007-11-09,November,2007
36127,Washington,Cashmere,73.0,2007-11-05,November,2007
36128,Washington,Bothell,13.0,2007-10-31,October,2007
36129,Washington,Bellingham,210.0,2007-10-08,October,2007
36130,Washington,Bellevue,9.0,2007-09-27,September,2007
36131,Washington,Seattle,58.0,2007-09-26,September,2007
36132,Washington,Sumner,217.0,2007-09-13,September,2007
36133,Washington,Woodland,135.0,2007-09-12,September,2007
36134,Washington,Marysville,57.0,2007-08-30,August,2007
36135,Washington,Bothell,12.0,2007-08-28,August,2007
36136,Washington,Nine Locations - WA,0.0,2007-08-28,August,2007
36137,Washington,Bellevue,41.0,2007-08-24,August,2007
36138,Washington,Vancouver,50.0,2007-08-23,August,2007
36139,Washington,Tukwila,68.0,2007-08-21,August,2007
36140,Washington,Bothell,1.0,2007-08-17,August,2007
36141,Washington,Seattle-Renton,684.0,2007-08-06,August,2007
36142,Washington,Bothell,1.0,2007-07-31,July,2007
36143,Washington,Seattle,67.0,2007-07-18,July,2007
36144,Washington,Federal Way,147.0,2007-07-12,July,2007
36145,Washington,Tacoma,7.0,2007-07-02,July,2007
36146,Washington,Spokane,245.0,2007-06-29,June,2007
36147,Washington,Seattle,90.0,2007-06-07,June,2007
36148,Washington,Seattle-Tacoma,115.0,2007-06-06,June,2007
36149,Washington,Bothell,1.0,2007-06-04,June,2007
36150,Washington,Bothell,5.0,2007-05-14,May,2007
36151,Washington,Bellevue,41.0,2007-05-10,May,2007
36152,Washington,Bothell,2.0,2007-05-09,May,2007
36153,Washington,Vancouver,72.0,2007-05-01,May,2007
36154,Washington,Kent,109.0,2007-04-30,April,2007
36155,Washington,Bothell,1.0,2007-04-30,April,2007
36156,Washington,Cashmere,76.0,2007-04-25,April,2007
36157,Washington,Redmond,1.0,2007-04-17,April,2007
36158,Washington,Bothell,1.0,2007-04-17,April,2007
36159,Washington,Issaquah,260.0,2007-04-16,April,2007
36160,Washington,Bothell,17.0,2007-04-02,April,2007
36161,Washington,Statewide,17.0,2007-04-02,April,2007
36162,Washington,Bothell,1.0,2007-03-22,March,2007
36163,Washington,Spokane,205.0,2007-03-15,March,2007
36164,Washington,Bothell,1.0,2007-03-06,March,2007
36165,Washington,Vancouver,76.0,2007-03-06,March,2007
36166,Washington,Bremerton,2.0,2007-03-02,March,2007
36167,Washington,Bellevue,2.0,2007-03-01,March,2007
36168,Washington,Bothell/Redmond/Bellevue,61.0,2007-02-28,February,2007
36169,Washington,Kent,99.0,2007-02-28,February,2007
36170,Washington,Ridgefield,43.0,2007-02-22,February,2007
36171,Washington,Bremerton,6.0,2007-02-16,February,2007
36172,Washington,Bothell,10.0,2007-01-29,January,2007
36173,Washington,Bellevue,1.0,2007-01-25,January,2007
36174,Washington,Kennewick,106.0,2007-01-18,January,2007
36175,Washington,Tacoma,45.0,2007-01-17,January,2007
36176,Washington,Bothell,268.0,2007-01-12,January,2007
36177,Washington,Fife,106.0,2007-01-12,January,2007
36178,Washington,Seattle,196.0,2007-01-08,January,2007
36179,Washington,Bothell/Redmond/Bellevue,11.0,2006-12-14,December,2006
36180,Washington,Bothell/Redmond/Bellevue,111.0,2006-12-11,December,2006
36181,Washington,Bothell/Redmond,15.0,2006-12-05,December,2006
36182,Washington,Bremerton,50.0,2006-12-01,December,2006
36183,Washington,Centralia,568.0,2006-11-27,November,2006
36184,Washington,Camas,32.0,2006-11-22,November,2006
36185,Washington,Bothell,20.0,2006-11-17,November,2006
36186,Washington,Auburn,57.0,2006-11-17,November,2006
36187,Washington,Bellevue,3.0,2006-11-16,November,2006
36188,Washington,Bothell,56.0,2006-11-09,November,2006
36189,Washington,Bothell,197.0,2006-11-02,November,2006
36190,Washington,Tacoma,75.0,2006-10-27,October,2006
36191,Washington,Bothell,63.0,2006-10-27,October,2006
36192,Washington,Leavenworth,102.0,2006-10-11,October,2006
36193,Washington,Lynnwood,140.0,2006-10-09,October,2006
36194,Washington,Bremerton,56.0,2006-10-06,October,2006
36195,Washington,Redmond,141.0,2006-10-03,October,2006
36196,Washington,Pateros,84.0,2006-09-28,September,2006
36197,Washington,Bellevue,2.0,2006-09-28,September,2006
36198,Washington,Bellevue,64.0,2006-09-15,September,2006
36199,Washington,Bremerton,15.0,2006-09-15,September,2006
36200,Washington,Seattle,120.0,2006-09-01,September,2006
36201,Washington,Everett,107.0,2006-08-28,August,2006
36202,Washington,Pasco,590.0,2006-08-17,August,2006
36203,Washington,Bremerton,44.0,2006-08-11,August,2006
36204,Washington,Bellevue,4.0,2006-08-03,August,2006
36205,Washington,Richland,121.0,2006-07-31,July,2006
36206,Washington,Seattle,255.0,2006-07-31,July,2006
36207,Washington,Seattle,175.0,2006-07-28,July,2006
36208,Washington,Tacoma,125.0,2006-07-17,July,2006
36209,Washington,Seattle,89.0,2006-07-14,July,2006
36210,Washington,Seattle,120.0,2006-07-10,July,2006
36211,Washington,Bremerton,24.0,2006-07-07,July,2006
36212,Washington,Bellevue,3.0,2006-06-22,June,2006
36213,Washington,Yakima,250.0,2006-06-02,June,2006
36214,Washington,Bothell,900.0,2006-06-01,June,2006
36215,Washington,"Bellevue, Kirkland, Redmond, Seattle, Tukwila",545.0,2006-05-30,May,2006
36216,Washington,Wenatchee,60.0,2006-05-09,May,2006
36217,Washington,Seattle,125.0,2006-05-02,May,2006
36218,Washington,Tacoma,80.0,2006-04-28,April,2006
36219,Washington,Yelm,47.0,2006-04-06,April,2006
36220,Washington,Bangor,100.0,2006-04-03,April,2006
36221,Washington,SeaTac,28.0,2006-04-03,April,2006
36222,Washington,Bothell,49.0,2006-03-20,March,2006
36223,Washington,Bellevue,2.0,2006-03-13,March,2006
36224,Washington,Redmond,2.0,2006-03-13,March,2006
36225,Washington,"Bothell, Redmond",17.0,2006-03-02,March,2006
36226,Washington,Fort Lewis,1.0,2006-02-27,February,2006
36227,Washington,"Bothell, Redmond",6.0,2006-02-17,February,2006
36228,Washington,Vancouver,104.0,2006-02-02,February,2006
36229,Washington,"Bothell, Redmond",34.0,2006-01-31,January,2006
36230,Washington,Longview,65.0,2006-01-25,January,2006
36231,Washington,Port Angeles,98.0,2006-01-23,January,2006
36232,Washington,"Bothell, Redmond",2.0,2006-01-17,January,2006
36233,Washington,Federal Way,90.0,2006-01-16,January,2006
36234,Washington,Elma,63.0,2006-01-09,January,2006
36235,Washington,Richland,275.0,2006-01-06,January,2006
36236,Washington,Tacoma,86.0,2006-01-03,January,2006
36237,Washington,"Bothell, Redmond",1.0,2005-12-20,December,2005
36238,Washington,"Bothell, Redmond",16.0,2005-12-06,December,2005
36239,Washington,Seattle,68.0,2005-12-06,December,2005
36240,Washington,Seattle,115.0,2005-12-06,December,2005
36241,Washington,Blaine,2.0,2005-11-29,November,2005
36242,Washington,Tukwila,45.0,2005-11-16,November,2005
36243,Washington,Spokane,80.0,2005-11-14,November,2005
36244,Washington,Spokane,74.0,2005-11-10,November,2005
36245,Washington,"Bothell, Redmond",7.0,2005-11-07,November,2005
36246,Washington,Kennewick,163.0,2005-11-02,November,2005
36247,Washington,Winlock,4.0,2005-11-01,November,2005
36248,Washington,Seattle,103.0,2005-10-26,October,2005
36249,Washington,Cosmopolis,245.0,2005-10-24,October,2005
36250,Washington,Aberdeen,97.0,2005-10-24,October,2005
36251,Washington,"Bothell, Redmond",25.0,2005-10-21,October,2005
36252,Washington,Lakewood,185.0,2005-10-19,October,2005
36253,Washington,"Bothell, Redmond",24.0,2005-10-11,October,2005
36254,Washington,Tacoma,122.0,2005-10-07,October,2005
36255,Washington,Arlington,138.0,2005-10-04,October,2005
36256,Washington,"Bothell, Redmond",15.0,2005-09-27,September,2005
36257,Washington,Bothell,1.0,2005-09-23,September,2005
36258,Washington,Blaine,2.0,2005-09-14,September,2005
36259,Washington,"Bothell, Redmond",7.0,2005-09-13,September,2005
36260,Washington,Republic,65.0,2005-09-09,September,2005
36261,Washington,Tumwater,124.0,2005-09-06,September,2005
36262,Washington,Kent,73.0,2005-08-25,August,2005
36263,Washington,Everett,85.0,2005-08-24,August,2005
36264,Washington,Redmond,171.0,2005-08-23,August,2005
36265,Washington,Bothell,2.0,2005-08-15,August,2005
36266,Washington,"Bothell, Redmond",9.0,2005-08-14,August,2005
36267,Washington,"Bothell, Redmond",6.0,2005-08-02,August,2005
36268,Washington,Bangor,787.0,2005-07-25,July,2005
